0     (2016-04-09 23:07:45,061) [main] INFO                  root  - Log4J logger created.
2     (2016-04-09 23:07:45,063) [main] INFO       smartgit.system  - SmartGit version 7.1.2-6112-bc7a992fae96fd4dd3be741b0732da71e63223d8-jgit-57018c12b49dcbef81c05fe1d49c1f38b92b7e08-trilead-f76a35c53959cfc64b295bea02b0a59d893e7aae
3     (2016-04-09 23:07:45,064) [main] INFO       smartgit.system  - SVNKit version SVN/1.8.1 SVNKit/1.8.11 (http://svnkit.com/) rSNAPSHOT
3     (2016-04-09 23:07:45,064) [main] INFO  sc.command.line.parameters  - 0 command line parameters:
3     (2016-04-09 23:07:45,064) [main] INFO       smartgit.system  - application root: /usr/share/smartgit
3     (2016-04-09 23:07:45,064) [main] INFO       smartgit.system  - defaults root   : /usr/share/smartgit/default
3     (2016-04-09 23:07:45,064) [main] INFO       smartgit.system  - settings root   : /home/timurk/.smartgit/7.1
3     (2016-04-09 23:07:45,064) [main] INFO       smartgit.system  - .app directory  : null
17    (2016-04-09 23:07:45,078) [main] INFO       smartgit.system  - created temp directory /tmp/smartgit4341466774036174710tmp
85    (2016-04-09 23:07:45,146) [main] INFO               gui.swt  - Used GTK version: 2.24.27
85    (2016-04-09 23:07:45,146) [main] INFO               gui.swt  - Using SWT 4.610
89    (2016-04-09 23:07:45,150) [main] INFO    q.ubuntuThemeUtils  - Executing /usr/bin/lsb_release -is
124   (2016-04-09 23:07:45,185) [main] INFO    q.ubuntuThemeUtils  - Output: Ubuntu
174   (2016-04-09 23:07:45,235) [main] INFO          splashscreen  - showing
308   (2016-04-09 23:07:45,369) [QThreadPoolThread-0 (smartgit.azt)] INFO          splashscreen  - progress: Trying to find a running instance...
324   (2016-04-09 23:07:45,385) [QThreadPoolThread-0 (smartgit.azt)] INFO         q.io.lockFile  - Locked /home/timurk/.smartgit/7.1/_lock_
325   (2016-04-09 23:07:45,386) [QThreadPoolThread-0 (smartgit.azt)] INFO          splashscreen  - progress: Setting up JNA...
333   (2016-04-09 23:07:45,394) [QThreadPoolThread-0 (smartgit.azt)] INFO          splashscreen  - progress: Setting up logging...
350   (2016-04-09 23:07:45,411) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - awt.toolkit                               : "sun.awt.X11.XToolkit"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - file.encoding                             : "UTF-8"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - file.encoding.pkg                         : "sun.io"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - file.separator                            : "/"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.awt.graphicsenv                      : "sun.awt.X11GraphicsEnvironment"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.awt.printerjob                       : "sun.print.PSPrinterJob"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.class.path                           : "/usr/share/smartgit/lib/bootloader.jar"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.class.version                        : "51.0"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.endorsed.dirs                        : "/usr/lib/jvm/java-7-oracle/jre/lib/endorsed"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.ext.dirs                             : "/usr/lib/jvm/java-7-oracle/jre/lib/ext:/usr/java/packages/lib/ext"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.home                                 : "/usr/lib/jvm/java-7-oracle/jre"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.io.tmpdir                            : "/tmp"
351   (2016-04-09 23:07:45,412) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.library.path                         : ":/usr/lib/gnome-private/lib:/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.net.preferIPv4Stack                  : "true"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.runtime.name                         : "Java(TM) SE Runtime Environment"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.runtime.version                      : "1.7.0_80-b15"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.specification.name                   : "Java Platform API Specification"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.specification.vendor                 : "Oracle Corporation"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.specification.version                : "1.7"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vendor                               : "Oracle Corporation"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vendor.url                           : "http://java.oracle.com/"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vendor.url.bug                       : "http://bugreport.sun.com/bugreport/"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.version                              : "1.7.0_80"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.info                              : "mixed mode"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.name                              : "Java HotSpot(TM) 64-Bit Server VM"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.specification.name                : "Java Virtual Machine Specification"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.specification.vendor              : "Oracle Corporation"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.specification.version             : "1.7"
352   (2016-04-09 23:07:45,413) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.vendor                            : "Oracle Corporation"
353   (2016-04-09 23:07:45,414) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - java.vm.version                           : "24.80-b11"
353   (2016-04-09 23:07:45,414) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - jna.boot.library.path                     : "/home/timurk/.smartgit/7.1/jna-tmp/com/sun/jna/linux-x86-64:"
353   (2016-04-09 23:07:45,414) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - jna.nounpack                              : "true"
353   (2016-04-09 23:07:45,414) [QThreadPoolThread-0 (smartgit.azt)] INFO       smartgit.system  - line.separator                            : "\n"
